ShipMethodID,ShipMethodName
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
3,OVERSEAS - DELUXE
